_,tr,bcl,pih,az,ln,as,hy,lg,st,cr,ro,vep,dsb,dv,lmo,scn,cy,tpi,rmy,gd,kn,mhr,nl,ki,be,ang,cdo,br,ja,fo,mi,ne,pdc,vls,nap,os,lez,id,he,lbe,ak,kbd,vi,simple,koi,fi,got,wo,mn,vo,ty,fa,xal,zea,diq,ug,yo,te,zh-yue,sg,ia,bat-smg,pi,sd,sw,ext,ltg,an,fiu-vro,mr,pag,ceb,pfl,bo,ss,pms,gv,nds-nl,tet,frr,om,hak,ti,hr,roa-tara,ms,el,frp,mrj,ckb,bg,oc,nrm,rue,co,sv,su,pnb,myv,en,ha,bpy,als,sl,tl,arz,glk,ie,bm,crh,ba,it,pt,sa,jbo,rm,ru,ff,rn,no,af,mg,cbk-zam,hsb,is,gn,ht,cs,sk,kw,tum,ar,ts,kk,zh-min-nan,to,tk,ce,bug,za,nn,ast,ky,cv,my,uz,io,fj,ch,bi,ve,ml,mwl,ta,or,nv,sq,lv,se,hif,sh,lad,war,nov,iu,li,mdf,ab,kg,tt,ace,bh,sn,na,kab,lt,zu,zh-classical,sr,hi,mzn,sco,fur,ksh,la,szl,new,qu,so,da,min,wuu,eml,xh,am,tn,pam,mk,srn,et,sm,nds,ks,ku,lij,nso,de,kv,eo,zh,gan,lb,fy,arc,pa,gu,gag,pnt,tw,ik,wa,ay,ko,jv,pap,ps,ga,sc,yi,ny,ig,bxr,av,sah,ilo,chr,krc,map-bms,ur,si,xmf,th,tg,mt,pcd,ee,fr,bn,vec,gl,be-x-old,chy,es,bar,lo,km,nah,bs,stq,haw,kl,kaa,bjn,hu,mo,eu,roa-rup,pl,ca,csb,udm,cu,rw,dz,uk,ka,
tr,Türkçe,N/A,N/A,Türk_dili,N/A,N/A,Թուրքերեն,N/A,N/A,N/A,Limba_turcă,Turkan_kel',Turkojšćina,N/A,Lengua_türca,Lingua_turca,Tyrceg,N/A,N/A,Turcais,N/A,Туреч_йылме,Turks,N/A,Турэцкая_мова,N/A,Tū-ī-gì-ngṳ̄,Turkeg,トルコ語,Turkiskt,Reo_Tākei,N/A,N/A,N/A,N/A,Туркаг_æвзаг,Туьрк_чӀал,Bahasa_Turki,טורקית,Туркнал_маз,N/A,Тыркубзэ,Tiếng_Thổ_Nhĩ_Kỳ,Turkish_language,Тюрк_кыв,turkki,N/A,N/A,N/A,N/A,N/A,زبان_ترکی_استانبولی,Түргдин_келн,N/A,Tırki,تۈرك_تىلى,Èdè_Túrkì,N/A,土耳其話,N/A,N/A,Torku_kalba,N/A,N/A,Kituruki,N/A,N/A,Idioma_turco,N/A,तुर्की_भाषा,N/A,Pinulongang_Turko,N/A,N/A,N/A,Lenga_turca,Turkish,N/A,N/A,N/A,N/A,Thú-ngí-khì-ngî,N/A,Turski_jezik,N/A,Bahasa_Turki,Τουρκική_γλώσσα,N/A,Турок_йӹлмӹ,زمانی_تورکی,Турски_език,Turc,N/A,Турецькый_язык,N/A,turkiska,Basa_Turki,ترک_بولی,N/A,Turkish,N/A,N/A,Türkische_Sprache,Turščina,Wikang_Turko,توركى,N/A,N/A,N/A,Türk_tili,Төрөк_теле,Lingua_turca,língua_turca,N/A,N/A,Lingua_tirca,Турецкий_язык,N/A,N/A,Tyrkisk,Turks,N/A,Turco,Turkowšćina,Tyrkneska,N/A,N/A,Turečtina,Turečtina,Turkek,N/A,لغة_تركية,N/A,Түрік_тілі,Türkiye-gí,N/A,Türk_dili,Turkoyn_mott,N/A,N/A,Tyrkisk,Turcu,Анадолу_Түркчөсү,Турккă_чĕлхи,N/A,Turk_tili,Turkiana_linguo,N/A,N/A,N/A,N/A,തുർക്കിഷ്_ഭാഷ,N/A,துருக்கிய_மொழி,N/A,Tʼóok_bizaad,Gjuha_turke,Turku_valoda,Durkkagiella,Turkish_bhasa,Turski_jezik,Lingua_turkana,Tinurkiya,N/A,N/A,Turks,Туркань_кяль,Аҭырқ_бызшәа,N/A,Törek_tele,Bahsa_Tureuki,N/A,N/A,N/A,N/A,Turkų_kalba,N/A,N/A,турски_језик,तुर्कीयाई_भाषा,ایستانبولی_تورکی,Turkis_leid,N/A,N/A,Lingua_Turcica,Turecko_godka,N/A,Turku_simi,Af-Turki,Tyrkisk,N/A,N/A,Turc,N/A,ቱርክኛ,N/A,N/A,Турски_јазик,N/A,Türgi_keel,N/A,N/A,N/A,Zimanê_tirkî,N/A,N/A,türkische_Sprache,Туреч_кыв,Turka_lingvo,土耳其语,N/A,Tierkesch,Turksk,ܠܫܢܐ_ܛܘܪܩܝܐ,ਤੁਰਕ_ਭਾਸ਼ਾ,N/A,Türk_dili,N/A,N/A,N/A,Trouk,N/A,터키어,Basa_Turki,N/A,N/A,An_Tuircis,Lìngua_turca,טערקיש,N/A,N/A,Турк_хэлэн,Турк_мацӀ,Түрк_тыла,Pagsasao_a_Turko,ᎠᏂᎬᎾ_ᎧᏬᏂᎯᏍᏗ,N/A,N/A,ترک_زبان,N/A,თურქული_ნინა,ภาษาตุรกี,Забони_туркӣ,N/A,N/A,N/A,turc,তুর্কি_ভাষা,Lengua_turca,Lingua_turca,Турэцкая_мова,N/A,turco,Tiakische_Sproch,N/A,N/A,N/A,Turski_jezik,N/A,N/A,Tyrkiskisut,N/A,N/A,török,N/A,Turkiera,Limba_turtseascã,Język_turecki,Turc,Tërecczi_jãzëk,Турок_кыл,N/A,Igiturukiya,N/A,Турецька_мова,თურქული_ენა,
bcl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tiếng_Bikol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chûng_Bikolano-ngî,N/A,Centralni_Bicolano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,بیکولانو,N/A,Central_Bikol_language,N/A,N/A,N/A,N/A,Wikang_Gitnang_Bikol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Central_Bikolano_leid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,中比科爾語,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bicolano_central,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
pih,N/A,N/A,Norfuk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfuk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ノーフォーク語,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfuk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfuk_language,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingua_Norfuk,Língua_norfuk,N/A,N/A,N/A,Норфолкский_язык,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,நோர்புக_மொழி,N/A,N/A,N/A,Norfolkiešu_valoda,N/A,N/A,Norfuk_jezik,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolka_lingvo,諾福克語,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,노퍽어,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norfolk,N/A,N/A,N/A,N/A,N/A,Pitcairnés-norfolkense,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Норфолкська_мова,N/A,
az,Azerice,N/A,N/A,Azərbaycan_dili,N/A,N/A,Ադրբեջաներեն,N/A,N/A,N/A,Limba_azeră,Azerbaidžanan_kel',N/A,N/A,N/A,N/A,Aserbaijaneg,N/A,N/A,N/A,N/A,Азербайджан_йылме,Azerbeidzjaans,N/A,Азербайджанская_мова,N/A,N/A,Azereg,アゼルバイジャン語,N/A,N/A,N/A,N/A,N/A,N/A,Азербайджайнаг_æвзаг,Азербайжан_чӀал,Bahasa_Azeri,אזרית,N/A,N/A,N/A,Tiếng_Azerbaijan,Azerbaijani_language,Азербайджан_кыв,Azerin_kieli,N/A,N/A,Азербайжан_хэл,N/A,N/A,زبان_ترکی_آذربایجانی,N/A,N/A,N/A,ئەزەربەيجان_تىلى,Èdè_Azerbaijani,N/A,N/A,N/A,N/A,Azėrbaidžanėitiu_kalba,N/A,N/A,Kiazeri,N/A,N/A,N/A,N/A,अझरबैजानी_भाषा,N/A,N/A,N/A,N/A,N/A,Lenga_Azerbaijan_setentrional,Asserbajaanish,N/A,N/A,N/A,N/A,Â-set-pai-kiông-ngî,N/A,Azerski_jezik,N/A,Bahasa_Azeri,Αζερική_γλώσσα,N/A,N/A,زمانی_ئازەربایجانی,Азербайджански_език,N/A,N/A,N/A,N/A,Azerbajdzjanska,Basa_Azerbaijan,آذری_بولی,N/A,Azerbaijani,N/A,N/A,N/A,N/A,N/A,اذرى,N/A,N/A,N/A,Azerbaycan_tili,N/A,Lingua_azera,Língua_azeri,N/A,N/A,N/A,Азербайджанский_язык,N/A,N/A,Aserbajdsjansk,Azerbeidjans,N/A,N/A,N/A,Aserbaídsjanska,N/A,N/A,Ázerbájdžánština,Azerbajdžančina,Azerek,N/A,لغة_أذرية,N/A,Әзірбайжан_тілі,N/A,N/A,Azerbaýjan_dili,N/A,N/A,N/A,Aserbajdsjansk,Azerbaixanu,Азербайжан_тили,Азербайджан_чĕлхи,N/A,Ozarbayjon_tili,N/A,N/A,N/A,N/A,N/A,N/A,N/A,அசர்பைஜான்_மொழி,N/A,N/A,Gjuha_azerbajxhane,Azerbaidžāņu_valoda,N/A,Azerbaijani_bhasa,N/A,N/A,N/A,N/A,N/A,Azerbaidzjaans,Азербайджанонь_кяль,N/A,N/A,Азәрбайҗан_теле,N/A,N/A,N/A,N/A,N/A,Azerbaidžaniečių_kalba,N/A,N/A,азерски_језик,अज़ेरी_भाषा,آذری,Azerbaijani_leid,N/A,N/A,Lingua_Atropatenica,N/A,अजेरी_भाषा,Asar_simi,N/A,Aserbajdsjansk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Азербејџански_јазик,N/A,Aserbaidžaani_keel,N/A,Aserbaidschaansche_Spraak,N/A,Zimanê_azerbaycanî,N/A,N/A,Aserbaidschanische_Sprache,Азербайджан_кыв,Azerbajĝana_lingvo,阿塞拜疆语,N/A,N/A,N/A,N/A,ਅਜ਼ੇਰੀ_ਭਾਸ਼ਾ,N/A,Azerbaycan_dili,N/A,N/A,N/A,N/A,N/A,아제르바이잔어,N/A,N/A,N/A,An_Asarbaiseáinis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,آذربائیجانی,N/A,აზერბაიჯანული_ნინა,ภาษาอาเซอร์ไบจาน,Забони_озарбойҷонӣ,N/A,N/A,N/A,Azéri,আজারবাইজানি_ভাষা,N/A,Lingua_azerí,Азэрбайджанская_мова,N/A,azerí,N/A,N/A,N/A,N/A,Azerbejdžanski_jezik,N/A,N/A,Aserbajdsjaniskisut,N/A,N/A,Azeri_nyelv,N/A,Azerbaijanera,N/A,Język_azerski,Àzeri,N/A,Азербайджан_кыл,N/A,Ikinyazeribayijani,N/A,Азербайджанська_мова,აზერბაიჯანული_ენა,
ln,N/A,N/A,N/A,N/A,Lingála,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingala,N/A,N/A,N/A,N/A,N/A,リンガラ語,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bahasa_Lingala,N/A,N/A,N/A,Лингалабзэ,N/A,N/A,N/A,Lingala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,لىنگالاچە,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kingala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lenga_Lingala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingala_jezik,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingala,N/A,لنگالا,N/A,Lingala_language,N/A,N/A,Lingala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingua_lingala,Língua_lingala,N/A,N/A,N/A,Лингала,N/A,N/A,Lingala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ngalština,Lingalčina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,இலிங்கள_மொழி,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingalum,N/A,N/A,N/A,N/A,Dingala,N/A,N/A,N/A,N/A,N/A,N/A,Ngalų_kalba,N/A,N/A,Лингала,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingala_simi,N/A,N/A,N/A,N/A,N/A,N/A,ሊንጋላ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingála,Лингала,Lingala_lingvo,林加拉语,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingala,N/A,링갈라어,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingala,N/A,N/A,N/A,N/A,N/A,Idioma_lingala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingala,N/A,Język_lingala,Lingala,N/A,N/A,N/A,Ilingala,N/A,Лінґала,N/A,
as,Assam_dili,N/A,N/A,Assam_dili,N/A,অসমীয়া_ভাষা,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Assameg,N/A,N/A,N/A,ಅಸ್ಸಾಮಿ,N/A,Assamees,N/A,Асамская_мова,N/A,N/A,Asameg,アッサム語,N/A,N/A,असमिया,N/A,N/A,N/A,N/A,Ассам_чӀал,Bahasa_Assam,אסאמית,N/A,N/A,N/A,Tiếng_Assam,Assamese_language,N/A,Assami,N/A,N/A,N/A,N/A,N/A,زبان_آسامی,N/A,N/A,N/A,N/A,Asamiisi,అస్సామీ_భాష,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,आसामी_भाषा,N/A,N/A,N/A,N/A,N/A,Lenga_assamèisa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Asamski_jezik,N/A,Bahasa_Assam,N/A,N/A,N/A,زمانی_ئاسامی,N/A,N/A,N/A,N/A,N/A,Assamesiska,N/A,اسامی_بولی,N/A,Assamese,N/A,অসমীয়া_ঠার,N/A,N/A,Wikang_Asames,N/A,N/A,N/A,N/A,N/A,N/A,Lingua_assamese,Língua_assamesa,असमिया,N/A,N/A,Ассамский_язык,N/A,N/A,Assamesisk,Assamees,Fiteny_assamey,N/A,N/A,Assameíska,N/A,N/A,Ásámština,Ásamčina,N/A,N/A,لغة_أسامية,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Assamesisk,Asamés,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ആസ്സാമീസ്,N/A,அசாமிய_மொழி,ଅସମୀୟା_ଭାଷା,N/A,N/A,Asamiešu_valoda,N/A,Assamese_bhasa,Asamski_jezik,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Asamų_kalba,N/A,N/A,Асамски_језик,असमिया,N/A,N/A,N/A,N/A,Lingua_Assamica,N/A,आसामी_भाषा,Asam_simi,N/A,Assamesisk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Assami_keel,N/A,N/A,N/A,N/A,N/A,N/A,Assamesische_Sprache,Ассам_кыв,Asama_lingvo,阿萨姆语,N/A,N/A,N/A,N/A,ਆਸਾਮੀ_ਭਾਸ਼ਾ,આસામીઝ_ભાષા,N/A,N/A,N/A,N/A,N/A,N/A,아삼어,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,آسامی_زبان,N/A,N/A,ภาษาอัสสัม,N/A,N/A,N/A,N/A,Assamais,অসমীয়া_ভাষা,N/A,Lingua_asamesa,N/A,N/A,asamés,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Asszámi_nyelv,N/A,Assamera,N/A,Język_asamski,Assamès,N/A,N/A,N/A,N/A,N/A,Асамська_мова,ასამური_ენა,
hy,Ermenice,N/A,N/A,Erməni_dili,N/A,N/A,Հայերեն,N/A,N/A,N/A,Limba_armeană,Armenijan_kel',Armeńšćina,N/A,N/A,Lingua_armena,Armeneg,N/A,N/A,N/A,N/A,N/A,Armeens,N/A,Армянская_мова,N/A,Ā-mī-nà̤-ā-ngṳ̄,N/A,アルメニア語,N/A,N/A,अर्मेनियाली_भाषा,N/A,N/A,N/A,Сомихаг_æвзаг,N/A,Bahasa_Armenia,ארמנית,N/A,N/A,N/A,Tiếng_Armenia,Armenian_language,N/A,Armenian_kieli,N/A,N/A,N/A,N/A,N/A,زبان_ارمنی,N/A,N/A,Ermenki,ئەرمەن_تىلى,Èdè_Arméníà,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Idioma_armenio,N/A,आर्मेनियन_भाषा,N/A,Pinulongang_Armenyanhon,N/A,N/A,N/A,Lenga_armen-a,Armeainish,N/A,N/A,N/A,N/A,N/A,N/A,Armenski_jezik,N/A,Bahasa_Armenia,Αρμενική_γλώσσα,N/A,N/A,زمانی_ئەرمەنی,Арменски_език,Armèni,N/A,N/A,N/A,Armeniska,Basa_Arménia,آرمینیائی,N/A,Armenian,N/A,N/A,N/A,Armenščina,N/A,ارمنلى,أرمنی_زوان,N/A,N/A,N/A,N/A,Lingua_armena,Língua_arménia,N/A,N/A,N/A,Армянский_язык,N/A,N/A,Armensk,Armeens,N/A,N/A,Armenšćina,Armenska,N/A,N/A,Arménština,Arménčina,N/A,N/A,لغة_أرمنية,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Armensk,Armeniu,N/A,Эрмен_чĕлхи,N/A,Arman_tili,Armeniana_linguo,N/A,N/A,N/A,N/A,N/A,N/A,அருமேனிய_மொழி,N/A,N/A,Gjuha_armene,Armēņu_valoda,Armeenalaš_gielat,Armenian_bhasa,Jermenski_jezik,Lingua_ermeni,N/A,N/A,N/A,Armeens,Армянонь_кяль,N/A,N/A,Әрмән_теле,N/A,N/A,N/A,N/A,N/A,Armėnų_kalba,N/A,N/A,Јерменски_језик,आर्मीनियाई_भाषा,N/A,Armenie_leid,N/A,N/A,Lingua_Armenica,Uormjańsko_godka,आर्मेनियन_भाषा,Arminya_simi,N/A,Armensk,N/A,N/A,N/A,N/A,አርሜንኛ,N/A,N/A,Ерменски_јазик,N/A,Armeenia_keel,N/A,Armeensche_Sprake,N/A,Zimanê_ermenî,Lengua_armenn-a,N/A,armenische_Sprache,Армен_кыв,Armena_lingvo,亚美尼亚语,N/A,N/A,Armeensk,ܠܫܢܐ_ܐܪܡܢܝܐ,ਆਰਮੇਨੀਆਈ_ਭਾਸ਼ਾ,N/A,N/A,N/A,N/A,N/A,Årmenyin,N/A,아르메니아어,Basa_Arménia,N/A,N/A,An_Airméinis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pagsasao_nga_Arménio,N/A,N/A,N/A,آرمینیائی_زبان,N/A,სომეხური_ნინა,ภาษาอาร์เมเนีย,Забони_арманӣ,N/A,N/A,N/A,Arménien,আর্মেনীয়_ভাষা,N/A,Lingua_armenia,Армянская_мова,N/A,armenio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Örmény_nyelv,N/A,Armeniera,N/A,Język_ormiański,Armeni,N/A,Армян_кыл,N/A,Icyarumeniya,N/A,Вірменська_мова,სომხური_ენა,
lg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ganda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Luganda,N/A,N/A,N/A,N/A,Gandaeg,ルガンダ語,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bahasa_Luganda,לוגנדה,N/A,N/A,N/A,N/A,N/A,N/A,Gandan_kieli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kiganda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lenga_Ganda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Luganda,N/A,N/A,N/A,Luganda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lingua_luganda,Língua_luganda,N/A,N/A,N/A,Луганда,N/A,N/A,Luganda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gandština,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Luganda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ஒலுகாந்த_மொழி,N/A,N/A,N/A,N/A,N/A,Luganda_bhasa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Luganda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ganda_simi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Luganda,N/A,N/A,Luganda,Луганда,Ganda_lingvo,卢干达语,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Luganda,N/A,N/A,Lingua_luganda,N/A,N/A,Idioma_luganda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Język_luganda,Ganda,N/A,N/A,N/A,N/A,N/A,Луганда,N/A,
st,Sotho_dili,N/A,N/A,Soto_dili,N/A,N/A,N/A,N/A,Sesotho,N/A,N/A,Sesoto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Zuid-Sotho,N/A,N/A,N/A,N/A,Sothoeg,ソト語,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bahasa_Sesotho,N/A,N/A,N/A,N/A,Tiếng_Sotho,N/A,N/A,Eteläsothon_kieli,N/A,N/A,N/A,N/A,N/A,زبان_سوتو,N/A,N/A,N/A,سېسوتوچە,Èdè_Sotho_Apágúúsù,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kisotho-Kusini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lenga_Sotho_meridional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Južni_sotho_jezik,N/A,N/A,N/A,N/A,N/A,N/A,Сото,N/A,N/A,N/A,N/A,Sesotho,Basa_Sotho,N/A,N/A,Sotho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lingua_sotho_del_sud,SeSotho_do_sul,N/A,N/A,N/A,Сесото,N/A,N/A,Sesotho,Suid-Sotho,N/A,N/A,N/A,Sótó,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sotho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,சோத்தோ_மொழி,N/A,N/A,Gjuha_sesote,N/A,N/A,Sesotho_bhasa,N/A,N/A,N/A,Sutum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sesoto_kalba,IsiSuthu,N/A,N/A,सिसोथो_भाषा,سوتو,N/A,N/A,N/A,N/A,N/A,N/A,Sesotho_simi,N/A,Sesotho,N/A,N/A,N/A,IsiSotho,N/A,N/A,N/A,Сото,N/A,N/A,N/A,N/A,N/A,N/A,Lengua_sesotho,Sesotho,Sesotho,Лунвыв_сото,Sota_lingvo,塞索托语,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,소토어,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,სოტო_ნინა,N/A,N/A,N/A,N/A,N/A,sotho_du_Sud,N/A,N/A,Lingua_sotho,N/A,N/A,sesotho,N/A,N/A,N/A,Sototlahtōlli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sothoera,N/A,Język_sotho,N/A,N/A,N/A,N/A,N/A,N/A,Сесото,N/A,
